City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,nagqu,31.5,92.0,5.37,82,100,1.67,CN,1723068617
151,manokwari,-0.8667,134.0833,25.96,76,100,1.42,ID,1723068618
152,kavieng,-2.5744,150.7967,28.32,77,8,5.77,PG,1723068620
153,mirnyy,62.5353,113.9611,13.24,68,8,1.71,RU,1723068621
154,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,68,20,6.0,RU,1723068622
155,vorgashor,67.5833,63.95,5.94,78,13,2.42,RU,1723068623
156,prince rupert,54.3161,-130.3201,13.05,100,100,1.54,CA,1723068624
157,laguna,38.421,-121.4238,41.41,15,0,5.66,US,1723068053
158,bikenibeu village,1.3673,173.1241,29.98,66,75,1.54,KI,1723068626
159,keflavik,64.0049,-22.5624,11.24,87,0,4.12,IS,1723068628
160,ola,59.5833,151.2833,12.89,84,43,2.53,RU,1723068083
161,hammerfest,70.6634,23.6821,21.25,40,7,3.09,NO,1723068630
162,taro,-8.3862,115.28,22.0,100,80,0.64,ID,1723068631
163,lansdowne,39.9382,-75.2719,22.1,92,100,5.66,US,1723068632
164,swakopmund,-22.6833,14.5333,11.66,84,1,1.2,NA,1723068633
165,fisterra,42.9049,-9.2629,20.01,82,2,9.82,ES,1723068634
166,novodvinsk,64.4165,40.8122,10.86,72,8,1.87,RU,1723068636
167,aasiaat,68.7098,-52.8699,4.37,93,76,3.93,GL,1723068637
168,alaghsas,17.0187,8.0168,26.79,67,94,5.27,NE,1723068639
169,tura,25.5198,90.2201,23.87,97,100,3.11,IN,1723068640
170,anshun,26.25,105.9333,18.47,97,10,2.31,CN,1723068641
171,salalah,17.0151,54.0924,25.05,100,100,3.09,OM,1723068642
172,crane,31.3974,-102.3501,37.79,17,0,0.3,US,1723068063
173,polyarnyy,69.1989,33.4478,13.64,60,9,4.77,RU,1723068645
174,hasaki,35.7333,140.8333,27.94,87,94,1.12,JP,1723068646
175,freetown,8.484,-13.2299,24.86,84,100,4.03,SL,1723068647
176,urcos,-13.6861,-71.6228,18.94,50,100,4.68,PE,1723068648
177,tolanaro,-25.0319,46.9987,21.04,88,75,3.09,MG,1723068085
178,pariaman,-0.619,100.12,26.03,85,100,2.04,ID,1723068651
179,beau vallon,-20.4189,57.6953,21.13,78,20,3.09,MU,1723068652
180,ilulissat,69.2167,-51.1,5.01,93,100,3.09,GL,1723068653
181,dakhla,23.6848,-15.958,19.97,88,6,10.35,EH,1723068654
182,bilibino,68.0546,166.4372,9.98,50,0,1.76,RU,1723068655
183,norilsk,69.3535,88.2027,8.69,74,0,2.89,RU,1723068657
184,flying fish cove,-10.4217,105.6791,24.82,88,100,5.66,CX,1723068658
185,ancud,-41.8697,-73.8203,6.8,82,3,0.75,CL,1723068659
186,morondava,-20.2833,44.2833,19.74,84,0,3.44,MG,1723068660
187,jajpur,20.85,86.3333,26.95,83,89,3.35,IN,1723068661
188,rio claro,-22.4114,-47.5614,21.65,30,3,2.69,BR,1723068069
189,howard springs,-12.497,131.047,20.95,92,5,2.77,AU,1723068664
190,ar ruways,24.1103,52.7306,33.77,54,86,4.49,AE,1723068666
191,waiuku,-37.25,174.75,14.58,86,100,4.49,NZ,1723068667
192,turkestan,43.3333,68.25,29.82,17,0,3.52,KZ,1723068668
193,klyuchi,52.2667,79.1667,19.36,85,98,3.12,RU,1723068669
